tac;make;model
35175806;BlackBerry;9720 Samoa
05541115;Acer;Aspire E1-532
05534214;Acer;Aspire E1-532
05534213;Acer;Aspire E1-532
05534215;Acer;Aspire E1-532
05541116;Acer;Aspire E1-532
05540206;Acer;Aspire E1-532
05534620;Acer;Aspire E1-532
05540205;Acer;Aspire E1-532
05534622;Acer;Aspire E1-532
05541114;Acer;Aspire E1-532
05540207;Acer;Aspire E1-532
05534729;Acer;Aspire E1-532
05541117;Acer;Aspire E1-532
02844211;Acer;Aspire E5-511
06243810;Acer;Aspire E5-511
06243811;Acer;Aspire E5-511
06243812;Acer;Aspire E5-511
06243813;Acer;Aspire E5-511
06243814;Acer;Aspire E5-511
02844212;Acer;Aspire E5-511
02844409;Acer;Aspire E5-511
02844408;Acer;Aspire E5-511
06244408;Acer;Aspire E5-511
06244409;Acer;Aspire E5-511
06244407;Acer;Aspire E5-511
86214902;Alcatel;POP C3 
86621502;Alcatel;2001
86979501;Alcatel;2005X
86591002;Alcatel;C1 Pop
86328302;Alcatel;C1 Pop
86515002;Alcatel;C1 Pop
86702502;Alcatel;Idol 3
86912001;Alcatel;One Touch 6010Y (Star)
86979601;Alcatel;ONe Touch Idol
86469402;Alcatel;One Touch Idol 2
86129202;Alcatel;One Touch Idol 2
35809106;Alcatel;one touch Pixi 3 (7)
35668206;Alcatel;onetouch Pixi 3 4
35625706;Alcatel;onetouch Pixi 3 4
35680104;Alcatel;OT 602
35638903;Alcatel;OT 808
35722804;Alcatel;OT 818
86366202;Alcatel;OT POP 8 Tab(3G)
35519004;Alcatel;OT-890
35669804;Alcatel;OT-X500
35669404;Alcatel;Vodafone 555
35418504;Alcatel;X300E USB modem 
35729806;Alcatel;Y858 LTE mob. Router
35876905;Apple;iPad Air
35877005;Apple;iPad Air
35205506;Apple;iPhone 5s
35201706;Apple;iPhone 5s
35201906;Apple;iPhone 5s
35868705;Apple;iPhone 5s
35204706;Apple;iPhone 5s
35868505;Apple;iPhone 5s
35589806;Apple;Iphone 6
35207306;Apple;Iphone 6
35695606;Apple;Iphone 6
35698106;Apple;Iphone 6
35697906;Apple;Iphone 6
35442706;Apple;Iphone 6
35697606;Apple;Iphone 6
35590206;Apple;Iphone 6
35442906;Apple;Iphone 6
35698306;Apple;Iphone 6
35589906;Apple;Iphone 6
35695506;Apple;Iphone 6
35695306;Apple;Iphone 6
35695106;Apple;Iphone 6
35695806;Apple;Iphone 6
35697706;Apple;Iphone 6
35695706;Apple;Iphone 6
35698506;Apple;Iphone 6
35590006;Apple;Iphone 6
35698006;Apple;Iphone 6
35207006;Apple;Iphone 6
35697806;Apple;Iphone 6
35207106;Apple;Iphone 6
35698206;Apple;Iphone 6
35207406;Apple;Iphone 6
35695906;Apple;Iphone 6
35696006;Apple;Iphone 6
35695406;Apple;Iphone 6
35443206;Apple;Iphone 6
35443306;Apple;Iphone 6
35836206;Apple;Iphone 6
35443006;Apple;Iphone 6
35590106;Apple;Iphone 6
35443406;Apple;Iphone 6
35443106;Apple;Iphone 6
35206106;Apple;Iphone 6
35206706;Apple;Iphone 6
35443606;Apple;Iphone 6 Plus
35444106;Apple;Iphone 6 Plus
35437706;Apple;Iphone 6 Plus
35438306;Apple;Iphone 6 Plus
35443706;Apple;Iphone 6 Plus
35438006;Apple;Iphone 6 Plus
35437606;Apple;Iphone 6 Plus
35437806;Apple;Iphone 6 Plus
35443906;Apple;Iphone 6 Plus
35437906;Apple;Iphone 6 Plus
35438206;Apple;Iphone 6 Plus
35443506;Apple;Iphone 6 Plus
35444006;Apple;Iphone 6 Plus
B1OABC07;Asustek Computer;1015
B1OABC05;Asustek Computer;1015
B1OABC06;Asustek Computer;1015
B1OABC03;Asustek Computer;1015
35538305;Asus;FonePad Tab
B4N0BC29;Asustek Computer;K52Fb notebook
35440005;Asus;Nexus 7c 
35810804;Asus;Padfone
35378405;Asus;Padfone2
35428304;Asustek Computer;Transformer
35281605;Asustek Computer;Transformer Tab 2 (Prime)
35378505;Asus;VivoTab RT
35967501;BlackBerry;8100
35692001;BlackBerry;8100
35196102;Blackberry;8110
35756402;Blackberry;8110
35826301;Blackberry;8310
35400502;Blackberry;8310
35508502;Blackberry;8310
35490704;BlackBerry;8520
35943003;BlackBerry;8520
35593103;BlackBerry;8520
35348704;BlackBerry;8520
35847303;BlackBerry;8520
35840904;BlackBerry;8520
35942903;BlackBerry;8520
35150505;BlackBerry;8520
35755904;BlackBerry;8520
35920004;BlackBerry;8520
35490804;BlackBerry;8520
35813904;BlackBerry;8520
35196904;BlackBerry;8520
35598704;BlackBerry;8520
35919904;BlackBerry;8520
35755804;BlackBerry;8520
35782804;BlackBerry;8520
35528304;BlackBerry;8520
35942803;BlackBerry;8520
35847203;BlackBerry;8520
35348604;BlackBerry;8520
35467201;Blackberry;8800
35948502;Blackberry;8900
35347103;Blackberry;8900
35525602;BlackBerry;9000 Bold
35961402;BlackBerry;9000 Bold
98004100;BlackBerry;9000 Bold
35184503;BlackBerry;9000 Bold
35487205;Blackberry;9320 Curve
35265905;Blackberry;9320 Curve
35541905;Blackberry;9320 Curve
35600205;Blackberry;9320 Curve
35401105;Blackberry;9320 Curve
35347203;BlackBerry;9500 Storm
35948402;BlackBerry;9500 Storm
35629703;BlackBerry;9520 Storm II
35939503;Blackberry;9700 Bold ll
35248004;Blackberry;9700 Bold ll
35425604;Blackberry;9700 Bold ll
35425504;Blackberry;9700 Bold ll
35618604;Blackberry;9780 bold
35796304;Blackberry;9780 bold
35717404;Blackberry;9780 bold
35717504;Blackberry;9780 bold
35920204;Blackberry;9790 Bold
35409105;Blackberry;9790 Bold
35546504;BlackBerry;9800 Torch
35620004;BlackBerry;9800 Torch
35760604;BlackBerry;9800 Torch
35150305;Blackberry;9900
35150405;Blackberry;9900
35684104;Blackberry;9900
35427905;Blackberry;9900
35185206;BlackBerry;Passport
35775905;Blackberry;Q10
35676005;Blackberry;Q10
35696805;Blackberry;Q5
35401005;Blackberry;Z10
35435806;Blackphone;Blackphone BP1 
35574604;HTC;ChaCha
35784103;HTC;Desire
35383304;HTC;Desire
35530204;HTC;Desire
35771004;HTC;Desire
35828005;HTC;Desire 300
35191206;HTC;Desire 310
35345006;HTC;Desire 510
35798505;HTC;Desire 601
35682105;HTC;Desire 610
35572106;HTC;Desire 820
35758606;HTC;Desire 820
35227605;HTC;Desire C
35437905;HTC;Desire C
35528206;HTC;Desire Eye
35629904;HTC;Desire HD
